Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,Result_Encoded,Home_Last_5_Points,Away_Last_5_Points,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws
2013,Gasko FC,Jamhuuriya FC,1,2,-1,1,3,1,-1,9,3,1,3,3,1,0
2013,Raadsan FC,Geeska Afrika FC,1,1,0,0,2,1,0,8,4,4,1,1,4,1
2013,Madbacadda FC,Ummah Hospital,0,0,0,0,0,0,0,0,4,0,1,1,0,1
2013,Waxool FC,Bariga Dhexe,3,1,2,-2,0,1,1,0,4,2,1,1,2,1
2013,SomaliFruit FC,Sahafi FC,1,3,-2,2,1,0,-1,4,1,0,4,4,0,0
2013,Gasko FC,Jazeera SC,0,1,-1,1,3,0,-1,9,1,0,4,4,0,0
2013,Raadsan FC,Midnimo FC,0,0,0,0,2,3,0,8,9,4,2,2,4,1
2013,Madbacadda FC,Gantaalaha Afgooye FC,3,3,0,0,0,1,0,0,5,0,1,1,0,1
2013,Waxool FC,Jamhuuriya FC,0,0,0,0,0,1,0,0,3,0,0,0,0,2
2013,SomaliFruit FC,Badbaado FC,1,0,1,-1,1,0,1,4,2,2,0,0,2,0
2013,Bariga Dhexe,Geeska Afrika FC,3,0,3,-3,0,1,1,0,4,2,0,0,2,0
2013,Sahafi FC,Ummah Hospital,4,2,2,-2,1,0,1,5,4,1,1,1,1,0
2013,Madbacadda FC,Albeder,1,2,-1,1,0,1,-1,0,6,1,1,1,1,0
2013,Waxool FC,Jazeera SC,1,1,0,0,0,0,0,0,1,2,1,1,2,1
2013,Bariga Dhexe,Midnimo FC,6,0,6,-6,0,3,1,0,9,1,1,1,1,0
2013,Sahafi FC,Gantaalaha Afgooye FC,1,2,-1,1,1,1,-1,5,5,1,1,1,1,0
2013,Geeska Afrika FC,Jamhuuriya FC,1,3,-2,2,0,1,-1,0,3,2,1,1,2,1
2013,Ummah Hospital,Badbaado FC,2,1,1,-1,2,0,1,8,2,1,0,0,1,1
2013,Waxool FC,Gasko FC,3,1,2,-2,0,0,1,0,1,2,0,0,2,0
2013,Albeder,SomaliFruit FC,2,3,-1,1,0,1,-1,2,4,0,1,1,0,1
2013,Geeska Afrika FC,Jazeera SC,2,3,-1,1,0,0,-1,0,1,0,3,3,0,1
2013,Jamhuuriya FC,Midnimo FC,2,0,2,-2,1,3,1,5,9,1,1,1,1,2
2013,Badbaado FC,Gantaalaha Afgooye FC,1,0,1,-1,0,1,1,0,5,2,0,0,2,0
2013,Sahafi FC,Albeder,3,1,2,-2,1,1,1,5,6,2,0,0,2,0
2013,Bariga Dhexe,Raadsan FC,2,1,1,-1,0,2,1,0,8,2,0,0,2,0
2013,Ummah Hospital,SomaliFruit FC,2,3,-1,1,2,1,-1,8,4,0,1,1,0,1
2013,Geeska Afrika FC,Gasko FC,3,0,3,-3,0,0,1,0,1,1,3,3,1,0
2013,Badbaado FC,Madbacadda FC,0,2,-2,2,0,1,-1,0,6,1,1,1,1,0
2013,Midnimo FC,Jazeera SC,2,2,0,0,2,0,0,7,1,4,1,1,4,3
2013,Geeska Afrika FC,Waxool FC,1,5,-4,4,0,2,-1,0,6,0,1,1,0,1
2013,Jamhuuriya FC,Raadsan FC,0,1,-1,1,1,2,-1,5,8,2,2,2,2,0
2013,Midnimo FC,Gasko FC,2,2,0,0,2,0,0,7,1,2,0,0,2,2
2013,Jamhuuriya FC,Bariga Dhexe,3,2,1,-1,1,1,1,5,4,2,0,0,2,0
2013,Midnimo FC,Waxool FC,1,3,-2,2,2,2,-1,7,6,0,2,2,0,0
2013,Jazeera SC,Raadsan FC,2,3,-1,1,1,2,-1,3,8,1,3,3,1,1
2013,Heegan SC,Gaadiidka FC,3,2,1,-1,2,3,1,7,9,12,1,1,12,2
2013,Horseed SC,Dekedda SC,0,3,-3,3,3,3,-1,11,10,6,4,4,6,7
2013,Jeenyo FC,Batroolka FC,2,0,2,-2,3,1,1,9,3,4,0,0,4,2
2013,Elman FC,Mogadishu City Club,1,3,-2,2,1,1,-1,3,6,2,7,7,2,9
2013,Dekedda SC,Heegan SC,1,2,-1,1,1,3,-1,5,11,6,6,6,6,6
2013,Gaadiidka FC,Batroolka FC,1,0,1,-1,0,1,1,1,3,3,1,1,3,2
2013,Horseed SC,Mogadishu City Club,2,2,0,0,3,1,0,11,6,3,8,8,3,7
2014,Jeenyo FC,Elman FC,0,2,-2,2,3,1,-1,9,5,5,4,4,5,7
2014,Heegan SC,Batroolka FC,4,2,2,-2,2,1,1,7,3,6,0,0,6,0
2014,Dekedda SC,Mogadishu City Club,2,4,-2,2,1,1,-1,5,6,6,5,5,6,6
2014,Gaadiidka FC,Elman FC,0,3,-3,3,0,1,-1,1,5,4,9,9,4,2
2014,Horseed SC,Jeenyo FC,2,4,-2,2,3,0,-1,11,2,6,7,7,6,3
2014,Mogadishu City Club,Heegan SC,1,0,1,-1,3,3,1,11,11,6,3,3,6,8
2014,Batroolka FC,Elman FC,1,2,-1,1,0,1,-1,1,5,1,4,4,1,1
2014,Dekedda SC,Jeenyo FC,0,3,-3,3,1,0,-1,5,2,8,4,4,8,4
2014,Gaadiidka FC,Horseed SC,2,2,0,0,0,4,0,1,13,4,8,8,4,4
2014,Heegan SC,Elman FC,1,2,-1,1,2,1,-1,7,5,6,6,6,6,6
2014,Mogadishu City Club,Jeenyo FC,1,1,0,0,3,0,0,11,2,8,4,4,8,4
2014,Batroolka FC,Horseed SC,1,3,-2,2,0,4,-1,1,13,0,5,5,0,1
2014,Dekedda SC,Gaadiidka FC,1,1,0,0,1,3,0,5,9,8,1,1,8,7
2014,Jeenyo FC,Heegan SC,0,1,-1,1,3,3,-1,9,11,2,7,7,2,7
2014,Elman FC,Horseed SC,3,3,0,0,1,4,0,3,13,6,6,6,6,5
2014,Mogadishu City Club,Gaadiidka FC,3,2,1,-1,3,3,1,11,9,12,1,1,12,2
2014,Batroolka FC,Dekedda SC,0,1,-1,1,0,3,-1,1,10,1,5,5,1,0
2014,Jeenyo FC,Gaadiidka FC,2,0,2,-2,3,3,1,9,9,4,6,6,4,4
2014,Heegan SC,Horseed SC,3,0,3,-3,2,4,1,7,13,6,3,3,6,8
2014,Elman FC,Dekedda SC,2,0,2,-2,1,3,1,3,10,7,7,7,7,3
2014,Mogadishu City Club,Batroolka FC,4,1,3,-3,3,1,1,11,3,5,0,0,5,1
2014,Gaadiidka FC,Heegan SC,1,2,-1,1,0,3,-1,1,11,1,12,12,1,2
2014,Dekedda SC,Horseed SC,0,1,-1,1,1,4,-1,5,13,4,6,6,4,7
2014,Jeenyo FC,Batroolka FC,1,1,0,0,3,1,0,9,3,4,0,0,4,2
2014,Mogadishu City Club,Elman FC,0,0,0,0,3,1,0,11,5,7,2,2,7,9
2014,Heegan SC,Dekedda SC,1,2,-1,1,2,3,-1,7,10,6,6,6,6,6
