date,home,score,away
08/03/2021 , Raadsan FC , 0 : 0 , Heegan S.C 
09/03/2021 , Elman FC , 4 : 0 , Geeska Afrika FC 
10/03/2021 , Dekedda SC , 1 : 2 , Midnimo FC 
11/03/2021 , Gaadiidka FC , 2 : 2 , Jeenyo  FC 
12/03/2021 , Mogadishu City Club , 1 : 1 , Horseed S.C 
15/03/2021 , Heegan S.C , 1 : 1 , Geeska Afrika FC 
16/03/2021 , Raadsan FC , 1 : 0 , Midnimo FC 
17/03/2021 , Elman FC , 1 : 2 , Jeenyo  FC 
18/03/2021 , Dekedda SC , 0 : 2 , Horseed S.C 
19/03/2021 , Gaadiidka FC , 0 : 1 , Mogadishu City Club 
17/05/2021 , Heegan S.C , 2 : 1 , Midnimo FC 
18/05/2021 , Jeenyo  FC , 4 : 2 , Geeska Afrika FC 
19/05/2021 , Horseed S.C , 0 : 0 , Raadsan FC 
20/05/2021 , Mogadishu City Club , 2 : 2 , Elman FC 
21/05/2021 , Gaadiidka FC , 0 : 3 , Dekedda SC 
24/05/2021 , Heegan S.C , 1 : 1 , Jeenyo  FC 
25/05/2021 , Horseed S.C , 5 : 2 , Midnimo FC 
25/05/2021 , Mogadishu City Club , 4 : 0 , Geeska Afrika FC 
27/05/2021 , Gaadiidka FC , 1 : 1 , Raadsan FC 
31/05/2021 , Dekedda SC , 1 : 1 , Elman FC 
01/06/2021 , Horseed S.C , 1 : 1 , Heegan S.C 
02/06/2021 , Mogadishu City Club , 2 : 1 , Jeenyo  FC 
03/06/2021 , Gaadiidka FC , 1 : 2 , Midnimo FC 
04/06/2021 , Dekedda SC , 1 : 2 , Geeska Afrika FC 
05/06/2021 , Elman FC , 3 : 2 , Raadsan FC 
06/06/2021 , Heegan S.C , 1 : 0 , Mogadishu City Club 
07/06/2021 , Gaadiidka FC , 0 : 5 , Horseed S.C 
08/06/2021 , Dekedda SC , 3 : 1 , Jeenyo  FC 
09/06/2021 , Elman FC , 0 : 2 , Midnimo FC 
10/06/2021 , Raadsan FC , 3 : 0 , Geeska Afrika FC 
27/06/2021 , Gaadiidka FC , 2 : 3 , Heegan S.C 
28/06/2021 , Dekedda SC , 1 : 1 , Mogadishu City Club 
29/06/2021 , Horseed S.C , 2 : 0 , Elman FC 
30/06/2021 , Raadsan FC , 0 : 0 , Jeenyo  FC 
01/07/2021 , Geeska Afrika FC , 0 : 4 , Midnimo FC 
02/07/2021 , Heegan S.C , 1 : 5 , Dekedda SC 
03/07/2021 , Elman FC , 0 : 2 , Gaadiidka FC 
04/07/2021 , Raadsan FC , 1 : 1 , Mogadishu City Club 
05/07/2021 , Geeska Afrika FC , 0 : 4 , Horseed S.C 
06/07/2021 , Midnimo FC , 1 : 0 , Jeenyo  FC 
07/07/2021 , Elman FC , 1 : 2 , Heegan S.C 
08/07/2021 , Raadsan FC , 0 : 2 , Dekedda SC 
09/07/2021 , Geeska Afrika FC , 1 : 8 , Gaadiidka FC 
10/07/2021 , Midnimo FC , 0 : 2 , Mogadishu City Club 
11/07/2021 , Jeenyo  FC , 1 : 3 , Horseed S.C 
12/07/2021 , Heegan S.C , 0 : 1 , Raadsan FC 
13/07/2021 , Geeska Afrika FC , 0 : 5 , Elman FC 
14/07/2021 , Midnimo FC , 0 : 0 , Dekedda SC 
16/07/2021 , Jeenyo  FC , 1 : 2 , Gaadiidka FC 
16/07/2021 , Horseed S.C , 0 : 0 , Mogadishu City Club 
17/07/2021 , Geeska Afrika FC , 0 : 13 , Heegan S.C 
18/07/2021 , Midnimo FC , 0 : 2 , Raadsan FC 
21/07/2021 , Jeenyo  FC , 2 : 1 , Elman FC 
22/07/2021 , Horseed S.C , 1 : 0 , Dekedda SC 
23/07/2021 , Mogadishu City Club , 4 : 2 , Gaadiidka FC 
