date,home,score,away
10/11/2013 , Horseed S.C , 0 : 3 , Dekedda SC 
11/11/2013 , Jeenyo  FC , 2 : 0 , Batroolka FC 
12/11/2013 , Elman FC , 1 : 3 , Mogadishu City Club 
14/11/2013 , Dekedda SC , 1 : 2 , Heegan S.C 
15/11/2013 , Gaadiidka FC , 1 : 0 , Batroolka FC 
18/11/2013 , Horseed S.C , 2 : 2 , Mogadishu City Club 
01/01/2014 , Jeenyo  FC , 0 : 2 , Elman FC 
02/01/2014 , Heegan S.C , 4 : 2 , Batroolka FC 
03/01/2014 , Dekedda SC , 2 : 4 , Mogadishu City Club 
06/01/2014 , Gaadiidka FC , 0 : 3 , Elman FC 
07/01/2014 , Horseed S.C , 2 : 4 , Jeenyo  FC 
09/01/2014 , Mogadishu City Club , 1 : 0 , Heegan S.C 
10/01/2014 , Batroolka FC , 1 : 2 , Elman FC 
13/01/2014 , Dekedda SC , 0 : 3 , Jeenyo  FC 
14/01/2014 , Gaadiidka FC , 2 : 2 , Horseed S.C 
16/01/2014 , Heegan S.C , 1 : 2 , Elman FC 
17/01/2014 , Mogadishu City Club , 1 : 1 , Jeenyo  FC 
20/01/2014 , Batroolka FC , 1 : 3 , Horseed S.C 
21/01/2014 , Dekedda SC , 1 : 1 , Gaadiidka FC 
23/01/2014 , Jeenyo  FC , 0 : 1 , Heegan S.C 
24/01/2014 , Elman FC , 3 : 3 , Horseed S.C 
27/01/2014 , Mogadishu City Club , 3 : 2 , Gaadiidka FC 
28/01/2014 , Batroolka FC , 0 : 1 , Dekedda SC 
30/01/2014 , Jeenyo  FC , 2 : 0 , Gaadiidka FC 
31/01/2014 , Heegan S.C , 3 : 0 , Horseed S.C 
03/02/2014 , Elman FC , 2 : 0 , Dekedda SC 
04/02/2014 , Mogadishu City Club , 4 : 1 , Batroolka FC 
17/02/2014 , Gaadiidka FC , 1 : 2 , Heegan S.C 
18/02/2014 , Dekedda SC , 0 : 1 , Horseed S.C 
20/02/2014 , Jeenyo  FC , 1 : 1 , Batroolka FC 
21/02/2014 , Mogadishu City Club , 0 : 0 , Elman FC 
24/02/2014 , Heegan S.C , 1 : 2 , Dekedda SC 
