date,home,score,away,home_score,away_score
14/05/2017 , Jazeera SC ,1 : 6, Gaadiidka FC ,1.0,6.0
15/05/2017 , Waxool FC ,0 : 2, Heegan S.C ,0.0,2.0
16/05/2017 , Horseed S.C ,1 : 1, Dekedda SC ,1.0,1.0
18/05/2017 , Bariga Dhexe ,1 : 4, Mogadishu City Club ,1.0,4.0
19/05/2017 , Jazeera SC ,1 : 3, Jeenyo  FC ,1.0,3.0
21/05/2017 , Gaadiidka FC ,3 : 0, Elman FC ,3.0,0.0
06/07/2017 , Heegan S.C ,1 : 1, Horseed S.C ,1.0,1.0
07/07/2017 , Bariga Dhexe ,0 : 2, Waxool FC ,0.0,2.0
10/07/2017 , Jazeera SC ,0 : 1, Dekedda SC ,0.0,1.0
11/07/2017 , Gaadiidka FC ,0 : 0, Mogadishu City Club ,0.0,0.0
12/07/2017 , Elman FC ,0 : 1, Jeenyo  FC ,0.0,1.0
13/07/2017 , Bariga Dhexe ,0 : 4, Heegan S.C ,0.0,4.0
14/07/2017 , Jazeera SC ,1 : 3, Horseed S.C ,1.0,3.0
17/07/2017 , Gaadiidka FC ,1 : 1, Waxool FC ,1.0,1.0
18/07/2017 , Elman FC ,0 : 2, Dekedda SC ,0.0,2.0
19/07/2017 , Jeenyo  FC ,0 : 3, Mogadishu City Club ,0.0,3.0
20/07/2017 , Heegan S.C ,2 : 0, Jazeera SC ,2.0,0.0
21/07/2017 , Gaadiidka FC ,2 : 0, Bariga Dhexe ,2.0,0.0
24/07/2017 , Elman FC ,1 : 1, Horseed S.C ,1.0,1.0
25/07/2017 , Jeenyo  FC ,0 : 0, Waxool FC ,0.0,0.0
26/07/2017 , Mogadishu City Club ,1 : 1, Dekedda SC ,1.0,1.0
27/07/2017 , Gaadiidka FC ,2 : 3, Heegan S.C ,2.0,3.0
28/07/2017 , Elman FC ,4 : 0, Jazeera SC ,4.0,0.0
31/07/2017 , Jeenyo  FC ,1 : 0, Bariga Dhexe ,1.0,0.0
01/08/2017 , Mogadishu City Club ,1 : 0, Horseed S.C ,1.0,0.0
02/08/2017 , Dekedda SC ,2 : 0, Waxool FC ,2.0,0.0
22/01/2018 , Dekedda SC ,1 : 0, Waxool FC ,1.0,0.0
23/01/2018 , Batroolka FC ,0 : 0, Gaadiidka FC ,0.0,0.0
24/01/2018 , Heegan S.C ,4 : 1, Elman FC ,4.0,1.0
25/01/2018 , Madbacadda FC ,1 : 1, Jeenyo  FC ,1.0,1.0
26/01/2018 , Horseed S.C ,1 : 0, Mogadishu City Club ,1.0,0.0
29/01/2018 , Gaadiidka FC ,1 : 1, Dekedda SC ,1.0,1.0
30/01/2018 , Waxool FC ,0 : 4, Elman FC ,0.0,4.0
31/01/2018 , Batroolka FC ,0 : 0, Jeenyo  FC ,0.0,0.0
01/02/2018 , Heegan S.C ,1 : 1, Mogadishu City Club ,1.0,1.0
02/02/2018 , Madbacadda FC ,0 : 0, Horseed S.C ,0.0,0.0
05/02/2018 , Dekedda SC ,1 : 0, Elman FC ,1.0,0.0
06/02/2018 , Gaadiidka FC ,0 : 1, Jeenyo  FC ,0.0,1.0
07/02/2018 , Waxool FC ,1 : 4, Mogadishu City Club ,1.0,4.0
08/02/2018 , Batroolka FC ,1 : 5, Horseed S.C ,1.0,5.0
09/02/2018 , Heegan S.C ,0 : 0, Madbacadda FC ,0.0,0.0
