Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws,Result_Encoded,Home_Form,Away_Form
2013, Sahafi FC , Albeder ,3,1,2,-2,4,1,0,0,0,0,0,1,5.0,6.0
2013, Bariga Dhexe , Raadsan FC ,2,1,1,-1,3,2,0,0,0,0,0,1,0.0,8.0
2013, Ummah Hospital , SomaliFruit FC ,2,3,-1,1,1,3,0,0,0,0,1,-1,8.0,4.0
2013, Geeska Afrika FC , Gasko FC ,3,0,3,-3,0,1,0,1,1,0,0,1,0.0,1.0
2013, Badbaado FC , Madbacadda FC ,0,2,-2,2,2,0,0,0,0,0,0,-1,0.0,6.0
2013, Jamhuuriya FC , ,8,0,8,-8,3,0,0,0,0,0,0,1,5.0,2.0
2013, Gantaalaha Afgooye FC , ,1,0,1,-1,1,0,0,0,0,0,1,1,8.0,2.0
2013, Midnimo FC , Jazeera SC ,2,2,0,0,2,3,0,1,1,0,0,0,7.0,1.0
2013, Geeska Afrika FC , Waxool FC ,1,5,-4,4,1,2,0,0,0,0,1,-1,0.0,6.0
2013, Jamhuuriya FC , Raadsan FC ,0,1,-1,1,4,2,0,0,0,0,0,-1,5.0,8.0
2013, Midnimo FC , Gasko FC ,2,2,0,0,1,0,0,0,0,0,1,0,7.0,1.0
2013, Jazeera SC , ,3,0,3,-3,3,0,0,0,0,0,0,1,3.0,2.0
2013, Jamhuuriya FC , Bariga Dhexe ,3,2,1,-1,3,4,0,0,0,0,0,1,5.0,4.0
2013, Midnimo FC , Waxool FC ,1,3,-2,2,0,3,0,1,1,0,0,-1,7.0,6.0
2013, Jazeera SC , Raadsan FC ,2,3,-1,1,3,2,0,1,1,0,0,-1,3.0,8.0
2013, , Gasko FC ,0,1,-1,1,0,0,0,1,1,0,0,-1,1.0,1.0
2013, Heegan S.C , Gaadiidka FC ,3,2,1,-1,4,0,0,0,0,0,0,1,7.0,9.0
2013, Horseed S.C , Dekedda SC ,0,3,-3,3,1,1,1,0,0,1,1,-1,11.0,10.0
2013, Jeenyo  FC , Batroolka FC ,2,0,2,-2,4,0,0,0,0,0,0,1,9.0,3.0
2013, Elman FC , Mogadishu City Club ,1,3,-2,2,4,0,0,0,0,0,1,-1,3.0,6.0
2013, Dekedda SC , Heegan S.C ,1,2,-1,1,2,4,0,0,0,0,1,-1,5.0,11.0
2013, Gaadiidka FC , Batroolka FC ,1,0,1,-1,0,0,0,0,0,0,0,1,1.0,3.0
2013, Horseed S.C , Mogadishu City Club ,2,2,0,0,1,1,0,0,0,0,1,0,11.0,6.0
2014, Jeenyo  FC , Elman FC ,0,2,-2,2,4,3,0,0,0,0,1,-1,9.0,5.0
2014, Heegan S.C , Batroolka FC ,4,2,2,-2,5,0,0,0,0,0,0,1,7.0,3.0
2014, Dekedda SC , Mogadishu City Club ,2,4,-2,2,1,1,0,0,0,0,1,-1,5.0,6.0
2014, Gaadiidka FC , Elman FC ,0,3,-3,3,1,3,0,0,0,0,0,-1,1.0,5.0
2014, Horseed S.C , Jeenyo  FC ,2,4,-2,2,1,3,0,0,0,0,1,-1,11.0,2.0
2014, Mogadishu City Club , Heegan S.C ,1,0,1,-1,2,5,0,1,1,0,1,1,11.0,11.0
