Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Result,Home_Last_5_Wins,Away_Last_5_Wins,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws,Home_Team_Avg_Goals_Scored,Home_Team_Avg_Goals_Conceded,Away_Team_Avg_Goals_Scored,Away_Team_Avg_Goals_Conceded,Result_Encoded,Home_Team_Recent_Form,Away_Team_Recent_Form,H2H_Home_Win_Ratio,H2H_Away_Win_Ratio,Goal_Difference
2013, Badbaado FC , Albeder ,1,1,0,0,Draw,0,0,0,0,0,0,0,0.6521739130434783,2.9565217391304346,1.4285714285714286,1.5714285714285714,0.0,0.0,0.0,,,0
2013, Jamhuuriya FC , Jazeera SC ,2,3,-1,1,Loss,0,0,0,0,0,0,0,2.2666666666666666,1.2,1.605263157894737,2.0789473684210527,,,1.0,,,-1
2013, Ummah Hospital , Gantaalaha Afgooye FC ,2,1,1,-1,Win,0,0,0,0,0,0,0,2.142857142857143,1.4285714285714286,1.2857142857142858,1.8571428571428572,1.0,1.0,2.0,,,1
2013, Geeska Afrika FC , ,2,1,1,-1,Win,1,0,0,0,0,0,0,1.0434782608695652,2.9130434782608696,0.7272727272727273,2.9545454545454546,1.0,2.0,2.0,,,1
2013, Sahafi FC , ,2,2,0,0,Draw,2,0,0,0,0,0,0,1.6774193548387097,1.4516129032258065,0.7272727272727273,2.9545454545454546,0.0,1.0,2.0,,,0
2013, Bariga Dhexe , Gasko FC ,6,0,6,-6,Win,1,0,0,0,0,0,0,2.0,2.176470588235294,0.8571428571428571,2.357142857142857,1.0,2.0,2.0,,,6
2013, SomaliFruit FC , Madbacadda FC ,2,3,-1,1,Loss,1,0,0,0,0,0,0,1.25,1.8125,0.9166666666666666,1.5833333333333333,,1.0,,,,-1
2013, Waxool FC , Raadsan FC ,1,1,0,0,Draw,1,1,0,0,0,0,0,1.1142857142857143,2.142857142857143,1.59375,1.46875,0.0,1.0,0.0,,,0
2013, Albeder , Gantaalaha Afgooye FC ,3,2,1,-1,Win,0,0,0,0,0,0,0,1.0,1.5714285714285714,1.2857142857142858,1.8571428571428572,1.0,1.0,3.0,,,1
2013, Midnimo FC , ,2,0,2,-2,Win,0,0,0,0,0,0,0,1.4857142857142858,1.3714285714285714,0.7272727272727273,2.9545454545454546,1.0,1.0,3.0,,,2
2013, Badbaado FC , ,0,1,-1,1,Loss,0,0,0,0,0,0,0,0.6521739130434783,2.9565217391304346,0.7272727272727273,2.9545454545454546,,0.0,2.0,,,-1
2013, Jamhuuriya FC , Gasko FC ,1,0,1,-1,Win,0,0,0,0,0,0,0,2.2666666666666666,1.2,0.8571428571428571,2.357142857142857,1.0,1.0,3.0,,,1
2013, Ummah Hospital , Madbacadda FC ,2,0,2,-2,Win,1,1,0,0,0,0,0,2.142857142857143,1.4285714285714286,0.9166666666666666,1.5833333333333333,1.0,2.0,1.0,,,2
2013, Geeska Afrika FC , Raadsan FC ,1,2,-1,1,Loss,2,1,0,0,0,0,0,1.0434782608695652,2.9130434782608696,1.59375,1.46875,,2.0,0.0,,,-1
2013, Sahafi FC , SomaliFruit FC ,3,1,2,-2,Win,1,1,0,0,0,0,0,1.6774193548387097,1.4516129032258065,1.3333333333333333,1.6666666666666667,1.0,2.0,1.0,,,2
2013, Bariga Dhexe , Waxool FC ,1,1,0,0,Draw,2,1,0,0,0,0,0,2.0,2.176470588235294,1.4285714285714286,1.8571428571428572,0.0,2.0,0.0,,,0
2013, , Albeder ,2,2,0,0,Draw,1,1,0,0,0,0,0,1.05,2.75,1.4285714285714286,1.5714285714285714,0.0,0.0,0.0,,,0
