Season,Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Result,Home_Last_5_Wins,Away_Last_5_Wins
2013,2013-09-02, , Badbaado FC ,0,1,-1,1,Loss,1,2
2013,2013-09-03, Raadsan FC , Geeska Afrika FC ,1,1,0,0,Draw,2,0
2013,2013-09-04, Madbacadda FC , Ummah Hospital ,0,0,0,0,Draw,1,0
2013,2013-09-05, Waxool FC , Bariga Dhexe ,3,1,2,-2,Win,3,3
2013,2013-09-06, SomaliFruit FC , Sahafi FC ,1,3,-2,2,Loss,1,4
2013,2013-09-08, Gasko FC , Jazeera SC ,0,1,-1,1,Loss,2,3
2013,2013-09-09, Albeder , ,1,1,0,0,Draw,0,1
2013,2013-09-10, Raadsan FC , Midnimo FC ,0,0,0,0,Draw,2,2
2013,2013-09-11, Madbacadda FC , Gantaalaha Afgooye FC ,3,3,0,0,Draw,0,1
2013,2013-09-12, Waxool FC , Jamhuuriya FC ,0,0,0,0,Draw,3,4
2013,2013-09-13, SomaliFruit FC , Badbaado FC ,1,0,1,-1,Win,1,3
2013,2013-09-15, Bariga Dhexe , Geeska Afrika FC ,3,0,3,-3,Win,2,0
2013,2013-09-16, Sahafi FC , Ummah Hospital ,4,2,2,-2,Win,4,0
2013,2013-09-17, Raadsan FC , ,6,1,5,-5,Win,2,0
2013,2013-09-18, Madbacadda FC , Albeder ,1,2,-1,1,Loss,0,0
2013,2013-09-19, Waxool FC , Jazeera SC ,1,1,0,0,Draw,3,3
2013,2013-09-20, SomaliFruit FC , ,1,1,0,0,Draw,2,0
2013,2013-09-22, Bariga Dhexe , Midnimo FC ,6,0,6,-6,Win,2,2
2013,2013-09-23, Sahafi FC , Gantaalaha Afgooye FC ,1,2,-1,1,Loss,5,1
2013,2013-09-24, Geeska Afrika FC , Jamhuuriya FC ,1,3,-2,2,Loss,0,3
2013,2013-09-25, Ummah Hospital , Badbaado FC ,2,1,1,-1,Win,0,2
2013,2013-09-26, Waxool FC , Gasko FC ,3,1,2,-2,Win,2,2
2013,2013-09-27, Albeder , SomaliFruit FC ,2,3,-1,1,Loss,1,2
2013,2013-09-29, Bariga Dhexe , ,10,1,9,-9,Win,3,0
2013,2013-10-01, Geeska Afrika FC , Jazeera SC ,2,3,-1,1,Loss,0,3
2013,2013-10-02, Ummah Hospital , ,2,2,0,0,Draw,1,0
2013,2013-10-03, Jamhuuriya FC , Midnimo FC ,2,0,2,-2,Win,3,2
2013,2013-10-04, Badbaado FC , Gantaalaha Afgooye FC ,1,0,1,-1,Win,1,2
2013,2013-10-07, Sahafi FC , Albeder ,3,1,2,-2,Win,4,1
2013,2013-10-08, Bariga Dhexe , Raadsan FC ,2,1,1,-1,Win,3,2
2013,2013-10-09, Ummah Hospital , SomaliFruit FC ,2,3,-1,1,Loss,1,3
2013,2013-10-10, Geeska Afrika FC , Gasko FC ,3,0,3,-3,Win,0,1
2013,2013-10-11, Badbaado FC , Madbacadda FC ,0,2,-2,2,Loss,2,0
2013,2013-10-13, Jamhuuriya FC , ,8,0,8,-8,Win,3,0
2013,2013-10-14, Gantaalaha Afgooye FC , ,1,0,1,-1,Win,1,0
2013,2013-10-15, Midnimo FC , Jazeera SC ,2,2,0,0,Draw,2,3
2013,2013-10-16, Geeska Afrika FC , Waxool FC ,1,5,-4,4,Loss,1,2
2013,2013-10-17, Jamhuuriya FC , Raadsan FC ,0,1,-1,1,Loss,4,2
2013,2013-10-18, Midnimo FC , Gasko FC ,2,2,0,0,Draw,1,0
2013,2013-10-19, Jazeera SC , ,3,0,3,-3,Win,3,0
2013,2013-10-20, Jamhuuriya FC , Bariga Dhexe ,3,2,1,-1,Win,3,4
2013,2013-10-21, Midnimo FC , Waxool FC ,1,3,-2,2,Loss,0,3
2013,2013-10-22, Jazeera SC , Raadsan FC ,2,3,-1,1,Loss,3,2
2013,2013-10-23, , Gasko FC ,0,1,-1,1,Loss,0,0
2013,2013-11-08, Heegan S.C , Gaadiidka FC ,3,2,1,-1,Win,4,0
2013,2013-11-10, Horseed S.C , Dekedda SC ,0,3,-3,3,Loss,1,1
2013,2013-11-11, Jeenyo  FC , Batroolka FC ,2,0,2,-2,Win,4,0
2013,2013-11-12, Elman FC , Mogadishu City Club ,1,3,-2,2,Loss,4,0
2013,2013-11-14, Dekedda SC , Heegan S.C ,1,2,-1,1,Loss,2,4
2013,2013-11-15, Gaadiidka FC , Batroolka FC ,1,0,1,-1,Win,0,0
2013,2013-11-18, Horseed S.C , Mogadishu City Club ,2,2,0,0,Draw,1,1
2014,2014-01-01, Jeenyo  FC , Elman FC ,0,2,-2,2,Loss,4,3
2014,2014-01-02, Heegan S.C , Batroolka FC ,4,2,2,-2,Win,5,0
2014,2014-01-03, Dekedda SC , Mogadishu City Club ,2,4,-2,2,Loss,1,1
2014,2014-01-06, Gaadiidka FC , Elman FC ,0,3,-3,3,Loss,1,3
2014,2014-01-07, Horseed S.C , Jeenyo  FC ,2,4,-2,2,Loss,1,3
2014,2014-01-09, Mogadishu City Club , Heegan S.C ,1,0,1,-1,Win,2,5
2014,2014-01-10, Batroolka FC , Elman FC ,1,2,-1,1,Loss,0,3
2014,2014-01-13, Dekedda SC , Jeenyo  FC ,0,3,-3,3,Loss,1,3
2014,2014-01-14, Gaadiidka FC , Horseed S.C ,2,2,0,0,Draw,1,1
2014,2014-01-16, Heegan S.C , Elman FC ,1,2,-1,1,Loss,4,4
2014,2014-01-17, Mogadishu City Club , Jeenyo  FC ,1,1,0,0,Draw,3,4
2014,2014-01-20, Batroolka FC , Horseed S.C ,1,3,-2,2,Loss,0,0
2014,2014-01-21, Dekedda SC , Gaadiidka FC ,1,1,0,0,Draw,1,1
2014,2014-01-23, Jeenyo  FC , Heegan S.C ,0,1,-1,1,Loss,3,3
2014,2014-01-24, Elman FC , Horseed S.C ,3,3,0,0,Draw,4,1
2014,2014-01-27, Mogadishu City Club , Gaadiidka FC ,3,2,1,-1,Win,3,1
2014,2014-01-28, Batroolka FC , Dekedda SC ,0,1,-1,1,Loss,0,1
2014,2014-01-30, Jeenyo  FC , Gaadiidka FC ,2,0,2,-2,Win,2,1
2014,2014-01-31, Heegan S.C , Horseed S.C ,3,0,3,-3,Win,3,1
2014,2014-02-03, Elman FC , Dekedda SC ,2,0,2,-2,Win,4,1
2014,2014-02-04, Mogadishu City Club , Batroolka FC ,4,1,3,-3,Win,3,0
2014,2014-02-17, Gaadiidka FC , Heegan S.C ,1,2,-1,1,Loss,0,3
2014,2014-02-18, Dekedda SC , Horseed S.C ,0,1,-1,1,Loss,1,1
2014,2014-02-20, Jeenyo  FC , Batroolka FC ,1,1,0,0,Draw,3,0
2014,2014-02-21, Mogadishu City Club , Elman FC ,0,0,0,0,Draw,4,4
2014,2014-02-24, Heegan S.C , Dekedda SC ,1,2,-1,1,Loss,3,1
2014,2014-02-25, Batroolka FC , Gaadiidka FC ,0,2,-2,2,Loss,0,0
2014,2014-02-27, Mogadishu City Club , Horseed S.C ,2,0,2,-2,Win,3,2
2014,2014-02-28, Elman FC , Jeenyo  FC ,2,5,-3,3,Loss,3,2
2014,2014-03-03, Batroolka FC , Heegan S.C ,1,3,-2,2,Loss,0,3
2014,2014-03-04, Mogadishu City Club , Dekedda SC ,2,1,1,-1,Win,3,2
2014,2014-03-06, Elman FC , Gaadiidka FC ,3,1,2,-2,Win,2,1
2014,2014-03-07, Jeenyo  FC , Horseed S.C ,1,0,1,-1,Win,2,2
2014,2014-03-10, Heegan S.C , Mogadishu City Club ,0,2,-2,2,Loss,4,4
2014,2014-03-11, Elman FC , Batroolka FC ,8,0,8,-8,Win,2,0
2014,2014-03-13, Jeenyo  FC , Dekedda SC ,1,1,0,0,Draw,3,2
